To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1988,Polonnaruwa,Sinhalese,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,M.K. Sivajalingam,Sajith Premadasa,Vickneswaran,Sajith Premadasa,He should give respect to all nations,Need an executive president,No,1995,Jaffna,Tamils,Male
Yes,Sajith Premadasa,No one,No One,Sajith Premadasa,Chandrika Kumaratunge,Sajith Premadasa,Proper development of country in all means,Abolish the executive president position,No,1987,Badulla,Tamils,Male
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1995,Ratnapura,Sinhalese,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,Anura Kumara Dissanayake,Subramanium Gunaratnam,Maithripala Sirisena,Sajith Premadasa,"Peaceful solution to ethnic issues and conflicts, economic growth, poison free - natural agriculture, encourage agroforestry, encourage local products and small industries ",Abolish the executive president position,No,1984,Batticaloa,Tamils,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1987,Polonnaruwa,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1993,Kalutara,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1989,Monaragala,Sinhalese,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1988,Kegalle,Sinhalese,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1988,Ratnapura,Sinhalese,Male
